Indiv_id	Groundtrth	Size_id	Community_	Grass_heig	Andropog_c	Tree_densi	Geol_id	Xval	Yval	Fire5698	Altitude	Slope	Aspect	Rsp	Trmi	Twi
368	446	3	LG	tall grass	unclear	0	5	94149.410627	-3117720.632436	8	162	2	194	15	43	0.63
369	447	2	LG	short grass	unclear	0	5	94170.066478	-3117707.121011	8	162	2	194	15	43	0.63
370	448	2	LG	short grass	unclear	0	5	94199.721422	-3117688.329909	8	163	2	204	15	42	1.65
371	449	2	LG	short grass	unclear	0	5	94238.982334	-3117654.156478	8	166	3	200	15	43	0.21
372	450	2	LG	short grass	unclear	0	5	94271.428241	-3117614.578417	10	170	3	191	15	45	0.23
175	451	2	LG	short grass	unclear	0	5	94316.502923	-3117512.672884	10	176	3	159	5	31	-1.13
176	452	2	LG	short grass	unclear	0	5	94283.356757	-3117506.465167	10	177	3	186	5	33	-1.02
177	453	2	LG	short grass	unclear	0	5	94235.472129	-3117498.357386	8	176	4	215	15	40	-0.68
178	454	2	LG	short grass	unclear	2	5	94189.67615	-3117492.64442	8	173	4	235	15	37	-0.72
179	455	2	LG	tall grass	unclear	2	5	94141.71628	-3117494.049101	8	170	3	251	5	26	-1.2
180	456	1	LG	patchy	unclear	0	5	94092.232116	-3117488.30749	8	167	2	265	15	35	-0.1
181	457	1	patchy	short grass	unclear	2	5	94049.602003	-3117482.025449	8	167	2	265	15	35	-0.1
182	458	1	patchy	patchy	unclear	4	5	94011.168115	-3117478.154995	8	164	2	279	15	34	0.77
183	459	1	patchy	patchy	unclear	4	5	93976.949221	-3117474.317791	8	162	1	302	10	26	-0.61
184	460	2	BG	tall grass	panicoid	4	5	93937.969673	-3117472.821495	8	161	1	300	15	31	-0.22
185	461	2	BG	tall grass	panicoid	4	7	93901.661972	-3117466.589822	8	161	1	300	15	31	-0.22
186	462	1	BG	tall grass	panicoid	4	7	93860.523384	-3117471.616716	8	160	1	286	10	31	0.14
188	463	1	BG	tall grass	panicoid	4	7	93782.634436	-3117459.70718	9	159	0	117	20	45	9.2
189	464	1	BG	tall grass	panicoid	4	7	93752.597721	-3117460.065476	9	159	0	117	20	45	9.2
190	465	1	patchy	tall grass	unclear	4	7	93711.007108	-3117455.576554	7	160	1	115	5	27	-0.61
191	466	1	LG	tall grass	unclear	4	6	93662.576403	-3117449.844912	9	162	3	117	5	27	-1.29
192	467	1	patchy	tall grass	unclear	4	6	93599.332362	-3117451.726286	9	166	5	117	5	27	-1.61
193	468	2	LG	tall grass	unclear	4	6	93558.357227	-3117435.946353	10	170	6	114	15	40	0.76
194	469	1	LG	tall grass	unclear	3	6	93517.773586	-3117437.411454	10	175	6	108	15	42	0.92
195	470	1	BG	tall grass	chlorodoid	3	6	93476.700386	-3117434.116525	11	181	7	101	15	36	-0.01
196	471	1	LG	tall grass	unclear	4	6	93440.863329	-3117435.024618	12	188	8	105	15	34	-0.59
197	472	1	LG	short grass	unclear	4	6	93398.181515	-3117435.284567	12	188	8	105	15	34	-0.59
198	473	1	BG	short grass	panicoid	2	6	93354.501835	-3117428.402417	12	195	8	116	15	38	-1.36
199	474	2	BG	short grass	chlorodoid	2	6	93317.680853	-3117420.384909	12	205	8	113	5	25	-2.09
200	475	2	BG	tall grass	panicoid	3	6	93271.834154	-3117420.026033	12	212	8	116	15	35	-0.34
201	476	2	BG	tall grass	chlorodoid	4	6	93232.382272	-3117412.582813	12	220	9	112	5	27	-2.15
202	477	2	BG	tall grass	andropogonoid	2	6	93191.313589	-3117408.694409	13	228	10	104	5	26	-2.16
203	478	2	BG	tall grass	chlorodoid	2	6	93141.79623	-3117407.118226	13	237	8	97	5	23	-1.94
204	479	2	BG	tall grass	andropogonoid	2	6	93109.642661	-3117408.650601	13	237	8	97	5	23	-1.94
205	480	2	BG	tall grass	andropogonoid	2	6	93066.993307	-3117404.75028	13	243	7	91	15	33	-0.26
206	481	1	BG	tall grass	andropogonoid	2	6	93024.330001	-3117402.633498	13	249	7	92	15	33	-1.03
207	482	1	patchy	tall grass	unclear	4	6	92977.470206	-3117398.106027	13	256	7	99	5	24	-1.76
208	483	1	BG	tall grass	andropogonoid	2	6	92932.680817	-3117398.351317	13	261	6	109	15	35	-1.1
209	484	2	BG	tall grass	unclear	2	6	92890.022115	-3117395.640555	13	267	7	118	5	29	-1.91
210	485	2	BG	tall grass	andropogonoid	0	6	92847.927337	-3117388.178021	13	267	7	118	5	29	-1.91
211	486	2	BG	tall grass	andropogonoid	0	6	92811.586516	-3117386.11137	13	272	7	131	15	40	-0.17
212	487	2	BG	tall grass	andropogonoid	0	6	92765.248855	-3117382.183302	13	276	7	143	15	38	-1.29
213	488	2	BG	tall grass	andropogonoid	0	6	92722.081709	-3117377.091084	13	280	7	155	5	30	-1.93
214	489	2	BG	patchy	andropogonoid	0	6	92679.422909	-3117374.38108	13	287	6	170	15	41	-1.04
215	490	2	BG	tall grass	andropogonoid	0	6	92638.894721	-3117368.715188	13	287	7	196	5	31	-1.92
216	491	2	BG	short grass	chlorodoid	0	6	92594.216122	-3117354.693444	12	284	10	217	15	37	-1.62
217	492	2	BG	tall grass	chlorodoid	0	6	92557.801314	-3117362.139628	12	284	10	217	15	37	-1.62
218	493	2	BG	tall grass	chlorodoid	1	6	92517.268427	-3117357.068615	12	277	12	225	15	36	-1.17
219	494	2	BG	tall grass	chlorodoid	1	6	92472.992991	-3117357.914123	12	268	14	229	15	35	-0.9
220	495	2	BG	tall grass	andropogonoid	1	6	92431.918363	-3117355.811908	12	257	16	234	15	34	-1.02
221	496	2	BG	tall grass	andropogonoid	4	6	92391.3762	-3117351.930248	13	243	16	234	15	34	-0.49
222	497	2	BG	tall grass	andropogonoid	2	6	92359.282538	-3117345.736091	14	243	16	234	15	34	-0.49
223	498	2	BG	tall grass	chlorodoid	2	6	92321.887806	-3117343.662774	14	233	10	216	15	38	1.19
224	499	2	BG	tall grass	chlorodoid	2	6	92290.307162	-3117339.256381	14	232	7	139	20	43	5.18
225	500	2	BG	tall grass	chlorodoid	2	6	92241.325608	-3117336.498996	14	241	14	100	15	32	0.19
226	501	2	BG	tall grass	chlorodoid	4	6	92206.602032	-3117329.690293	14	241	14	100	15	32	0.19
227	502	2	BG	tall grass	andropogonoid	4	6	92170.251804	-3117328.81464	13	256	17	93	15	37	-0.11
228	503	2	BG	tall grass	chlorodoid	4	6	92119.144287	-3117328.419528	13	272	16	93	15	40	-0.22
229	504	2	BG	tall grass	chlorodoid	2	6	92067.528274	-3117325.642499	13	286	14	94	15	38	-0.36
230	505	2	BG	tall grass	chlorodoid	2	6	92031.709499	-3117324.176876	13	300	13	94	15	31	-0.93
231	506	2	BG	tall grass	andropogonoid	0	6	91994.305492	-3117323.293513	14	311	10	97	15	32	-1.44
232	507	2	BG	tall grass	chlorodoid	1	6	91958.450024	-3117326.584135	14	309	9	102	15	33	-0.73
233	508	2	BG	tall grass	andropogonoid	1	6	91909.445466	-3117326.800645	16	316	7	116	15	35	-1.23
234	509	2	BG	tall grass	andropogonoid	0	6	91872.082723	-3117320.567181	15	324	6	120	5	29	-1.81
235	510	2	BG	tall grass	andropogonoid	1	6	91834.646646	-3117323.84588	15	328	6	133	15	37	0.64
236	511	2	BG	tall grass	andropogonoid	0	6	91792.500707	-3117322.926725	15	332	6	141	15	38	-0.13
237	512	2	BG	tall grass	chlorodoid	0	6	91746.66661	-3117321.979329	15	332	6	141	15	38	-0.13
238	513	2	BG	tall grass	chlorodoid	0	6	91705.102439	-3117313.930341	15	336	7	146	15	39	-1.31
239	514	2	BG	tall grass	chlorodoid	0	6	91663.043351	-3117301.715998	15	339	7	156	5	30	-1.99
240	515	2	BG	tall grass	chlorodoid	0	6	91615.20675	-3117287.07919	15	341	8	166	15	41	-0.54
241	516	1	BG	tall grass	chlorodoid	0	6	91585.76984	-3117277.934744	15	342	8	167	15	41	0.12
243	517	1	BG	tall grass	chlorodoid	0	6	91523.656971	-3117269.728632	15	353	11	166	15	40	0.06
244	518	2	BG	tall grass	chlorodoid	0	6	91482.037746	-3117268.814627	15	356	12	164	15	39	0.54
245	519	2	BG	tall grass	chlorodoid	2	6	91449.751894	-3117287.592178	15	345	10	168	15	40	0.85
246	520	2	BG	tall grass	chlorodoid	1	6	91428.402973	-3117323.100918	15	347	11	166	15	40	0.21
247	521	2	BG	short grass	chlorodoid	0	6	91407.131685	-3117348.503084	15	339	9	166	15	42	0.56
248	522	2	BG	tall grass	chlorodoid	0	6	91385.260666	-3117383.413396	15	333	8	155	15	40	1.73
249	523	2	BG	tall grass	chlorodoid	3	6	91367.100704	-3117415.379383	15	333	8	155	15	40	1.73
250	524	2	BG	tall grass	chlorodoid	0	6	91350.503231	-3117449.735576	15	328	7	143	15	48	-0.64
251	525	1	BG	tall grass	chlorodoid	0	6	91331.285158	-3117482.28811	15	328	7	130	15	47	-0.62
253	526	1	BG	tall grass	andropogonoid	0	6	91388.949521	-3117520.780875	15	323	8	135	15	48	0.6
254	527	2	BG	tall grass	andropogonoid	0	6	91390.201893	-3117563.597514	15	317	10	129	15	46	-0.53
255	528	2	BG	tall grass	chlorodoid	0	6	91373.096791	-3117594.382588	15	311	10	122	15	35	0.61
256	529	2	BG	tall grass	chlorodoid	0	6	91338.648957	-3117621.467445	15	319	8	129	15	37	-0.38
257	530	2	BG	tall grass	chlorodoid	0	6	91307.381566	-3117645.009566	15	314	8	133	15	40	-0.32
258	531	2	BG	tall grass	chlorodoid	1	6	91269.841999	-3117661.96372	15	318	7	156	5	30	-1.99
259	532	2	BG	tall grass	chlorodoid	0	6	91233.823975	-3117686.658748	15	311	9	179	15	49	-0.53
260	533	2	BG	tall grass	chlorodoid	0	6	91205.168535	-3117713.193824	15	311	9	179	15	49	-0.53
261	534	2	BG	tall grass	chlorodoid	0	6	91188.553729	-3117749.928188	15	302	9	177	15	42	0.11
262	535	2	BG	tall grass	chlorodoid	0	6	91165.103475	-3117784.826791	15	294	8	188	15	52	0.37
263	536	2	BG	tall grass	chlorodoid	0	6	91125.170711	-3117839.219299	15	285	9	184	15	41	0.79
264	537	2	BG	tall grass	chlorodoid	0	6	91100.662558	-3117874.704427	14	278	9	203	15	49	1.74
265	538	2	BG	tall grass	chlorodoid	0	6	91077.707844	-3117913.768671	14	276	11	195	15	40	-0.26
266	539	2	BG	tall grass	chlorodoid	2	6	91065.871705	-3117945.783531	14	264	12	206	15	45	1.4
267	540	2	BG	tall grass	chlorodoid	2	6	91051.923684	-3117978.37676	14	254	12	215	15	37	-0.73
268	541	2	BG	tall grass	panicoid	3	6	91038.51166	-3118009.784996	14	249	11	208	15	40	1.59
269	542	2	BG	tall grass	chlorodoid	3	6	91024.01876	-3118044.752297	14	241	7	207	15	40	2.15
270	543	2	BG	tall grass	chlorodoid	4	6	91006.950744	-3118071.970836	14	241	7	207	15	40	2.15
271	544	2	BG	tall grass	chlorodoid	2	6	90992.462546	-3118106.343601	14	236	2	157	15	42	6.34
272	545	2	BG	tall grass	panicoid	4	6	90971.175375	-3118134.124576	14	235	3	103	15	35	1.59
273	546	2	BG	tall grass	panicoid	4	6	90956.723666	-3118163.741362	14	235	3	103	15	35	1.59
274	547	2	BG	tall grass	panicoid	2	6	90934.977897	-3118182.600684	14	241	7	80	15	33	0.45
275	548	2	BG	tall grass	chlorodoid	2	6	90912.119546	-3118209.180663	14	241	7	80	15	33	0.45
276	549	2	BG	short grass	panicoid	2	6	90893.07617	-3118219.142578	14	249	10	80	15	30	-0.05
277	550	2	BG	tall grass	chlorodoid	3	6	90875.301308	-3118268.94851	14	251	9	81	15	31	-0.67
278	551	2	BG	tall grass	chlorodoid	2	6	90857.134085	-3118303.293367	14	252	8	91	15	36	-1.11
279	552	2	BG	tall grass	chlorodoid	2	6	90840.007867	-3118338.240794	14	256	7	133	15	37	-1.28
280	553	2	BG	tall grass	chlorodoid	2	6	90813.448588	-3118366.576332	14	256	7	133	15	37	-1.28
